,0
He slowly undoes the top button of his overcoat.,1
There is a glint of metal in the shadows within.,1
"Reese turns slowly on his barstool as the figure brushes past him, out-of-focus F.G.",1
Sarah looks up.,1
E.C.U,1
"- REESE'S HAND sliding slowly along polished steel, a caress",1
His finger slips through the triggerguard of the riot gun.,1
"MEDIUM ON SARAH, as the man stops in front of her in close F.G.",1
He sits slowly in the booth opposite her,1
The angle is OVER,1
HIS SHOULDER.,1
SARAH,2
(uncertainly),4
Lieutenant Vukovich?,3
REVERSE ANGLE - It is not Lt,1
Vukovich.,1
Terminator sits motionless for a BEAT.,1
Blue eyes so pure and deep,1
"The eyes of a saint, perhaps.",1
"The .45 is out and cocked and AIMED DIRECTLY AT CAMERA, almost in one motion.",1
The bore seems enormous.,1
"BACK ON SARAH, over the gun barrel, her eyes go wide",1
"We hold a BEAT, like a frozen slice of nightmare.",1
"MEDIUM ON REESE as he whips the riot-gun to a hip-firing posi- tion, his overcoat falling back with a snap",1
HE FIRES.,1
"ON TERMINATOR, as the shotgun blast hits his arm and he FIRES, simultaneously",1
Sarah screams as the .45 round blows stuffing out of the booth seat inches from her face,1
Her hair is singed by burning gunpowder,1
An involuntary cry is punched out of her by the double concussions.,1
Reese is stroking up another shell as Terminator half-rises from booth.,1
"OVER REESE'S SHOULDER, as he fires, cocks the slide, fires again, advancing on Sarah's booth.",1
"Terminator is blown backward over the center divider, crashing through the glasses and pitchers of beer on the table opposite, and onto the floor.",1
"Sarah is screaming, scrunched down in the booth.",1
Terminator is lying on his back at the feet of a table- full of drunk patrons.,1
He has two rifled 12 gauge slugs in his chest and one in the arm.,1
"The bar customers are frozen in the weird tableau, cowering, gaping.",1
Sarah stops screaming.,1
"Reese stand motionless, gun aimed.",1
"In the sudden silence, the sound of him cocking the shotgun is abnormally loud.",1
"ON TERMINATOR, very still.",1
"Then he smoothly rolls to a crouch and slips the UZI machine pistol from beneath his overcoat, where it has been hang- ing on a shoulder strap.",1
He doesn't seem too impaired as he swings around to fire.,1
Reese rolls like a cat and comes up firing.,1
A burst from the UZI rakes the bar where he stood.,1
An orgy of shattering glass.,1
Total pandemonium.,1
"SEVERAL ANGLES  as patrons of the bar run, scream or dive for cover, depending upon their level of intelligence.",1
Reese slides through the glass to Sarah's booth and seizes her wrists.,1
"ON TERMINATOR, kneeling amid the chaos, raising the UZI one-handed.",1
Reese tugs viciously on Sarah's arm and she sprawls across the booth seat a moment before the divider and seat cushion erupt with hits from the UZI.,1
ANGLE ON A RUNNING PATRON as a burst of 9mm fire catches him in the chest,1
"He pitches into Sarah's booth, pinning her.",1
"Reese fires, ducks, fires again.",1
Tables crash over.,1
A window is blown out.,1
A table candle rolls into a pool of high-proof alcohol behind the bar.,1
It ignites with a WHOOSH.,1
Reese feed two shells into the riot-gun.,1
"TIGHT ON TERMINATOR, an island of slow, precise movement amid the confusion",1
He drops a spent clip,1
Reaches for another with his bloody hand.,1
MOVING WITH REESE as he vaults the row of booths and starts firing,1
At point blank range he unloads the shotgun into,1
Terminator's belly.,1
CUT TO:,0
Terminator crashes backwards through two tables and a plate glass window into the street.,1
CUT TO:,0
The roaring fire behind the bar is spreading very quickly.,1
The air is thick with smoke.,1
"Reese tosses the UZI, for which he has no ammo, into the fire",1
He hauls the dead man off Sarah and reaches for her.,1
"TIGHT ON SARAH, shrinking away from Reese, hysterical.",1
"When he grabs her wrist she struggles, eyes wide.",1
C.U,1
#NAME?,1
REESE,2
Come with me if you want to live.,3
She looks where he is pointing.,1
CUT TO:,0
EXT,5
STOKER'S BAR/STREET ,5
 NIGHT  ,6
Terminator is rising unsteadily to his feet,1
"Shattered glass rains from him, except where it sticks to his blood- drenched shirt and coat.",1
C.U,1
#NAME?,1
CUT TO:,0
C.U,1
#NAME?,1
SARAH,2
(awed whisper),4
Oh my God...,3
CUT TO:,0
PANAGLIDE PRECEDING TERMINATOR as he clambers back through the window and starts through the burning bar.,1
CUT TO:,0
"PANAGLIDE MOVING IN ON REESE AND SARAH as he runs, drag- ging her with him, toward the back.",1
"REVERSE ON TERMINATOR, DOLLYING as he crashed through the wreckage in the swirling smoke, hurling burning tables out of his way.",1
CUT TO:,0
"PANAGLIDE FOLLOWING REESE AND SARAH, running headlong through the cluttered kitchen, then down a narrow back hallway",1
Sarah stumbles and Reese brutally pulls her to her feet without slowing.,1
"He hits a closed door, which crashes open.",1
"Hauls Sarah through, into another corridor.",1
Slams and blot-latches it.,1
An instant later an impact from the far side tears the latch-screws half out of the wall.,1
They run on.,1
CUT TO:,0
Terminator takes a step back from the closed door and slams into it again,1
It starts to give way. behind him the flames engulf a CAN OF CLEANING SOLVENT.,1
CUT TO:,0
"Reese and Sarah pelt down the narrow corridor, fling open the outside door and spin out into the alley.",1
TIGHT ON DOOR at far end,1
It splinters open and Terminator sprints down the corridor.,1
CUT TO:,0
The cleaning solvent EXPLODES.,1
CUT TO:,0
"DOLLYING AHEAD OF TERMINATOR, very fast, as he runs full- throttle",1
Behind him a fireball of superheated gas hurtles down the narrow hallway,1
He clears the outer door an instant before the tongue of flame roars out into the alley.,1
CUT TO:,0
"Vukovich's plain car arrives, slewing to a stop in the glass-littered street in front of the blazing building.",1
"He leaps out, Traxler right in behind him.",1
VUKOVICH,2
(shouting),4
What the fuck is going on?,3
TWO LAPD UNITS arrive behind them,1
He motions to the nearest one.,1
VUKOVICH,2
(continuing),4
Cover the alley in back.,3
He heads for the inferno at a run.,1
CUT TO:,0
DOLLYING WITH REESE AND SARAH as they run through the dark alley,1
Sarah stumbles over trashcans.,1
Reese pulls her along mercilessly.,1
WHIP-PANNING as they clear a corner.,1
The B.G is a blur.,1
The night-maze is a blur in all of these shots.,1
No static angles.,1
Relentless forward motion.,1
CUT TO:,0
"Behind them Terminator is moving with inhuman speed, bounding like a panther, leaping trash cans and other obstacles.",1
TRACKING C.U,1
#NAME?,1
CUT TO:,0
We know this is Terminator's POV because Sarah and Reese are just ahead of us,1
"But the image is bizarre, alien.",1
Bright and hyper-real,1
"There is a hint of digitization, and the fleeing figures ahead are more luminous than the background, suggesting infra-red.",1
The margins of the FRAME are crammed with columns of CRT- type characters columns of numbers and acronyms,1
The data changes more rapidly than any human eye could follow.,1
There is no doubt that we are seeing as a machine would see.,1
"The sound effects are bright and clear, as if they are digitized and enhanced as well.",1
CUT TO:,0
Reese and Sarah turn a corner by caroming off the wall without slowing and pelt down a narrower alley,1
This one is lined with a row of parked cars and connects to the street,1
There is little room to run.,1
"Reese is reloading on the run, dropping shells.",1
"Behind them Terminator enters the alley, gaining.",1
"LOW ANGLE, FAST PANAGLIDE ahead of the fleeing pair.",1
"As they breast the last car Reese shoves Sarah hard, pitching her on her face to the pavement.",1
He flings open the car door...a shield.,1
Drops to the ground.,1
Fires into the gas tank of a car further back in the row just before Terminator reaches it.,1
"The car EXPLODES, filling the alley with fire",1
An inferno funneled between the enclosing walls.,1
ANGLE ON REESE AND SARAH behind the car door as flames roar over the hood.,1
"ON TERMINATOR, as he slides to a stop, cut off by the wall of flame.",1
Reese doesn't waste any time stuffing Sarah into the car.,1
Climbing in after and over her he twists two wires together and we recognize it as his stolen GREY SEDAN.,1
The engine catches.,1
A SILHOUETTE rockets out of the flames.,1
"Terminator, leaping from the roof of the blazing car ahead, impacts on the hood of Reese's car",1
His hair and coat are burning.,1
CUT TO:,0
Reese jams reverse and nail the throttle.,1
The car backs down the alley.,1
Terminator draws back his fist.,1
Punches into the windshield.,1
"Inside, Sarah is sprayed with glass as the killer's fist shoots through.",1
The lacerated fingers grope for her.,1
"WIDE as the car shoots backwards out of the alley onto the street, narrowly missing an arriving LAPD CRUISER.",1
Sarah plasters herself tightly into the seat as the fingers grasp her blouse and pull.,1
Reese cranks the wheel hard.,1
CUT TO:,0
"The sedan skids, slewing sideways into a parked car.",1
Terminator rolls down off onto the pavement.,1
Reese's car shoots forward.,1
"PANNING WITH SEDAN as it roars past Vukovich, the gathering minions of the burning building, an arriving fire truck...shoots through a red light and continues to accel- erate.",1
"Terminator gets to a kneeling position, then slowly stands.",1
He pats out his smoldering clothing as he watches his quarry escape.,1
CUT TO:,0
 EXT,5
STREET,5
NIGHT,6
"ON VUKOVICH as he runs to his car, exhorting the nearby",1
"LAPD guys to give pursuit, while Traxler grabs the radio.",1
VUKOVICH,2
(shouting),4
Go!  Go!  He's got her.,3
TRAXLER,2
(overlapping),4
Suspect westbound on,3
Olympic,3
Grey sedan,3
"Has hostage, repeat...",3
CUT TO:,0
"LOW WIDE ANGLE on the empty street, which is narrow and tightly lines with parked cars.",1
The ROAR of an engine builds.,1
"The sedan, like a night-demon, hurtles out of the shadows with its lights off, doing ninety plus.",1
CUT TO:,0
Sarah is in a daze.,1
Paralyzed,1
Face bloodless.,1
"She is shivering silently, uncontrollably.",1
"Her eyes are wide, and it seems likely that she doesn't quite comprehend the roaring blur outside her window.",1
REESE,2
(calmly),4
Hold on.,3
CUT TO:,0
"WIDE ANGLE, CLOSE TO SEDAN, and following it as it hurtles around a corner in an expertly controlled slide.",1
Then a high speed sprint down the cross-street.,1
Reese squirrels the vehicle between a slow-moving car ahead and oncoming traffic.,1
A dive into another dark side street.,1
CUT TO:,0
"Reese drives with total, nerveless absorption",1
"His eyes flick to the mirror, to the road, over his shoulder, back",1
...and the world spins outside.,1
"With occasional glances to Sarah, he speaks to her in a clipped, military voice.",1
REESE,2
Are you injured?  Are you shot?,3
No response.,1
"He reaches over and runs his hands over her arms, legs, chest",1
Sarah flinches.,1
She feels the BLIND PANIC BOILING UP WITHIN HER.,1
She pushes his hand away and opens the door.,1
Reese slams her back in the seat and slaps her,1
Hard.,1
REESE,2
(continuing),4
Do exactly what I say.,3
Exactly,3
Don't move un- less I say,3
Don't make a sound unless I say,3
Do you understand?,3
"As he speaks he is locking the door and fastening Sarah's seatbelt over her, cinching it very tightly, like you would for a child",1
She doesn't answer.,1
REESE,2
(continuing/ shouting),4
Do you understand?,3
SARAH,2
(a whisper),4
Yes,3
Don't hurt me.,3
REESE,2
I'm here to help you,3
"Reese,",3
"Sergeant/Tech-Com, DN38416...",3
Sarah stares numbly at his outstretched hand,1
With zero strength she automatically returns his handshake.,1
REESE,2
(continuing),4
Assigned to protect you.,3
You've been targetted for termination.,3
CUT TO:,0
EXT,5
SIDE STREET/ALLEY,5
NIGHT,6
"The walls of a narrow alley, inky black, frame a police cruiser parked on the street beyond",1
Firelight from the back of Stoker's lights the street garishly.,1
A young cop  stands beside the car talking via radio with the mike cord pulled through the side window,1
He speaks with a distinctive twang--a displaced southerner.,1
COP,2
"...I don't know, it looks like it might spread to this furniture warehouse across the alley, the paint on the wall's starting to blister up...",3
"The sweeping headlights of a turning car momentarily illuminate the face of Terminator, motionless in the dark right in front of us.",1
Eyes open,1
Listening.,1
COP,2
(continuing),4
Better get another truck round to this side.,3
"Terminator's silhouette emerges from the blackness and strides purposefully toward the cop, CAMERA following.",1
"The officer whirls and reaches for his gun but Terminator flings him brutally into the side of the car, steps over him and opens the door.",1
Before getting in he notes the unit number on the roof,1
143,1
"Then he slides behind the wheel, slips the squad car into gear, and pulls out.",1
"CAMERA PRECEDING CAR, HIDE WIDE ANGLE, as it accelerates rapidly, until the lines across the street are flashing under it in a staccato rhythm.",1
CUT TO:,0
"Sarah is slumped way down in the seat, turned away from the window, trying not to see the landscape reeling outside.",1
SARAH,2
(hoarse whisper),4
This is a mistake,3
I haven't done anything.,3
REESE,2
No,3
But you will,3
It's very important that you live.,3
"Sarah closes her eyes, as if to shut it all out.",1
SARAH,2
I can't believe this is happen- ing,3
How could than man get up after you...,3
Reese's tone is equal parts hatred and respect as he replies.,1
REESE,2
Not a man,3
A Terminator.,3
Cyber Dynamics Model 101.,3
CUT TO:,0
"Terminator drives expressionlessly, monitoring the babble from Central Dispatch",1
He hears his number.,1
DISPATCHER (V.O.),2
(filtered),4
...Suspect vehicle sighted on,3
"Motor at Pico, southbound.",3
Units Two-Zero-Six and Five-,3
"Seven, attempt intercept.",3
"Unit One-Four-Three, come in.",3
Terminator picks up the mike,1
He speaks in a simulation of the young cop's southern twang.,1
TERMINATOR,2
This is One-Four-Three,3
"West- bound on Olympic, approaching",3
Overland.,3
CUT TO:,0
The grey sedan moves through traffic like a hell-bent wraith,1
Reese has the hammer down,1
He handles the car with nerves of steel.,1
CUT TO:,0
"Below, Reese's sedan snakes along at 110 plus",1
"The chopper, F.G., drops toward it.",1
PILOT (V.O.),2
(filtered),4
Air-unit Two,3
We're on him.,3
Westbound Santa Monica at 405.,3
CUT TO:,0
SARAH,2
"A machine?  You mean, like a robot?",3
REESE,2
Not a robot,3
Cyborg.,3
Cybernetic Organism.,3
They have to yell over the roar of air through the broken windshield.,1
SARAH,2
But...he was bleeding.,3
At that moment a blinding light sears down on them from above,1
Reese looks over his left shoulder and sees a,1
CHP cruiser coming alongside.,1
REESE,2
Just a second,3
Keep your head down.,3
CUT TO:,0
"The helicopter is right above the, its spotlight burning on Reese",1
"The cruiser flanks them, closing",1
"Reese peels off to the right, inches in front of a tractor-trailer rig, brakes hard and slides into a four-wheel drift through a curving off-ramp.",1
"The helicopter banks, following.",1
The cruiser swaps ends trying to maneuver and slams broad- side into the guardrail,1
Out of action.,1
CUT TO:,0
The sedan roars across the street without slowing and vanishes down a tree-lined side street.,1
CUT TO:,0
"DOWN ANGLE - AERIAL past the chopper, F.G., as its searchlight sweeps over the close-knit treetops.",1
CUT TO:,0
"The sedan skids around a corner, F.G., as the searchlight filters in shafts through the trees further down the street, sweeping futility back and forth.",1
CUT TO:,0
"It hovers indecisively, then banks off.",1
PILOT (V.O.),2
(filtered),4
Lost him.,3
CUT TO:,0
"Reese is ultra-alert, craning to look up, back, forward.",1
REESE,2
Good cover.,3
(pause),4
Alright,3
Listen.,3
The Terminator's an infil- tration unit,3
"Part man, part machine",3
"Underneath, it's a hyperalloy combat chassis, mircoprocessor-controlled, fully  armored",3
Very tough...,3
He pauses as they slide around another corner.,1
CUT TO:,0
"Reese's sedan glides out onto a main drag, very subdued.",1
He turns the lights on and blends with traffic.,1
The helicopter crosses laterally in the distance.,1
CUT TO:,0
REESE,2
(continuing),4
"But outside, it's living human tissue",3
"Flesh, skin, hair...blood",3
Grown for the cyborgs.,3
SARAH,2
"Look, Reese, I know you want to help, but...",3
REESE,2
(cutting her off),4
Pay attention,3
The 600 series had rubber skin.,3
We spotted them easy,3
But these are new,3
They look human,3
"Sweat, bad breath, everything",3
Very hard to spot,3
I had to wait 'til he moved on you before I could zero him.,3
SARAH,2
"Hey, I'm not stupid, y'know.",3
They can't build anything like that yet.,3
REESE,2
No,3
Not yet,3
Not for about forty years.,3
"Reese is driving sedately for a low profile, but his eyes rove constantly, searching for a place to ditch the car.",1
"Sarah's eyes are alert as well, and her tone becomes a bit too cool.",1
SARAH,2
"So, it's from the future, is that right?",3
REESE,2
One possible future,3
Four your point of view,3
I don't know the tech stuff.,3
SARAH,2
And you're from the future too?,3
REESE,2
Right.,3
They come to a red light and Reese stops.,1
SARAH,2
(patronizingly),4
Right...,3
"Like a shot she unlatches the seatbelt, pulls the door lock and has the door half open before Reese can react",1
He catches her arm and hauls her struggling back into the car.,1
Sarah sinks her teeth into his hand with all her strength.,1
His grip doesn't slacken.,1
"Slowly, without releasing her, he reaches across with his other hand and shuts the door",1
His face shows no reaction.,1
"Sarah draws back and stares at the blood running down his arm from the bite, that at his grim, scarred face",1
The light turns green and Reese drives on.,1
Sarah tastes blood and wipes her mouth.,1
REESE,2
(coldly),4
Cyborgs don't feel pain,3
I do,3
Don't...do that...again.,3
He wipes his hand on his pants.,1
SARAH,2
"(weakly, plead- ing)",4
Just let me go.,3
REESE,2
"(slow, but intense)",4
Listen,3
Understand,3
That,3
Terminator is out there,3
"It can't be reasoned with, it can't be bargained with...it doesn't feel pity of remorse or fear... and it absolutely will not stop.",3
Ever,3
Until you are dead.,3
Sarah slump in utter resignation.,1
SARAH,2
(quietly),4
Can you stop it?,3
Reese doesn't look at her.,1
REESE,2
Maybe,3
With these weapons...,3
I don't know.,3
CUT TO:,0
"Reese's car turns into the parking lot of a large hospital, acres of pavement dotted with sporadic parked cars.",1
CUT TO:,0
"ANGLE THROUGH WINDSHIELD, ON TERMINATOR, as he searches.",1
Streetlights flare across rhythmically.,1
CUT TO:,0
"It moves between two buildings, searchlight sweeping back and forth",1
"DOWN ANGLE, past the chopper, as the circle of light moves across a row of parked cars.",1
It passes a grey sedan with a shattered windshield.,1
Flicks back,1
Holds.,1
"TIGHTER ON CAR, GROUND LEVEL, in the glare and propwash.",1
It looks empty.,1
CUT TO:,0
"LOW ANGLE DOLLY, MOVING WITH REESE AND SARAH as they crawl behind a row of parked cars.",1
He has firm hold of her arm but she seems to be cooperating.,1
"In the B.G., the chopper hovers, on the far side of the lot.",1
Reese approaches the door of a late model brown Buick which has been left with its window partway down.,1
He unlocks it and they slip inside.,1
CUT TO:,0
"TIGHT ON TERMINATOR, through the windshield of the black- and-white.",1
DISPATCHER (V.O.),2
(filtered),4
"Suspect vehicle located at parking lot, Cedar and Glen- haven...",3
FULL SHOT as Terminator's cruiser slews in a radical turn and roars off in the opposite direction.,1
CUT TO:,0
Reese uses the butt of the shotgun to smash loose the ignition assembly,1
He begins working on the wires,1
"A police cruiser appears, moving slowly between the rows of cars.",1
Reese grabs Sarah and pulls her down to huddle below dash level,1
A moment later a spotlight flashes across the seats above them,1
They hear the helicopter circling closer.,1
SARAH,2
Reese...why me?  Why does it want me?,3
"They are lying very close, a forced intimacy",1
"Reese's voice is an urgent whisper, almost in her ear",1
A cruiser passes so close they can hear its radio clearly.,1
REESE,2
There's so much...,3
SARAH,2
Tell me,3
Just start at the beginning.,3
Reese musters his thoughts,1
And starts.,1
REESE,2
There was a war,3
A few years from now,3
Nuclear war,3
The whole thing,3
All this--,3
"His gesture includes the car, the city, the world.",1
REESE,2
(continuing),4
#NAME?,3
Just gone,3
There were survivors.,3
Here,3
There,3
Nobody knew who started it.,3
(pause),4
It was the machines.,3
SARAH,2
I don't understand...,3
REESE,2
Defense network computer,3
New.,3
Powerful,3
Hooked into everything.,3
Trusted to run it all,3
They say it got smart...a new order of intelli- gence,3
"Then it saw all people as a threat, not just the ones on the other side",3
Decided out fate in a microsecond...extermination.,3
"Reese pauses, and when he continues it's less like a military briefing, quieter.",1
REESE,2
(continuing),4
Didn't see the war,3
"I was born after, in the ruins",3
Grew up there,3
Starving,3
Hiding from the H-K's.,3
SARAH,2
The what?,3
REESE,2
Hunter Killers,3
Patrol machines.,3
Build in automated factories.,3
"Most of us were rounded up, put in camps...for orderly disposal.",3
He pushes up the sleeve of his jacket and shows her a ten digit number etches on the skin of his forearm.,1
Beneath the numbers is a pattern of lines like the auto- matic-pricing marks on product packages.,1
REESE,2
(continuing),4
Burned in by laser scan.,3
(pause),4
Some of us were kept alive... to work,3
Loading bodies,3
The disposal units ran night and day.,3
We were that close to going out forever...,3
The helicopter moves overhead,1
"Its searchlight illum- inates the car interior, moves on",1
"Before the rotor sound fads, Reese starts the car.",1
CUT TO:,0
"Several black-and-whites are moving among the parked cars, slowly.",1
ANGLE ON TERMINATOR'S CRUISER rolling along just above idle,1
"He peers into the row of cars, listening and seeing on level we can't.",1
CUT TO:,0
Reese is holding onto Sarah's shoulder tightly.,1
REESE,2
(continuing),4
...but there was one man...who taught us to fight,3
To storm the wire of the camps,3
To smash those metal mother- fuckers into junk,3
He turned it around...he brought us back from the brink.,3
(pause),4
His name is Connor,3
"John Connor... your son, Sarah",3
Your unborn son.,3
Sarah stared at him.,1
CUT TO:,0
"The brown Buick is F.G as the nose of Terminator's cruiser appears behind it, moving slowly.",1
C.U,1
#NAME?,1
"LOW ANGLE, past the back of the Buick, as Terminator cruises by",1
"The tailpipe, F.G., puffs quietly.",1
Terminator's head snaps around.,1
His eyes lock on Reese's car.,1
He reaches for his shotgun.,1
CUT TO:,0
"Reese's head jerks up, looking in the mirror.",1
CUT TO:,0
"Reese's car launches forward from its space, tires spinning as Terminator fires from the window of the cruiser.",1
CUT TO:,0
"The rear window explodes and Reese ducks, then cranks the wheel.",1
CUT TO:,0
"Reese and Terminator race along opposite sides of a row of cars, approaching the exit.",1
The cruiser pulls ahead and closes diagonally as they clear the last car.,1
Reese sees the other's shotgun leveled.,1
"He ducks, steering blind, keeps it floored.",1
The windshield and side window EXPLODES INWARD.,1
"The Buick slams into the black-and-white, spinning it into a parked truck",1
TIRES SCREAM as the two cars slew around heading for the exit.,1
"SEVERAL ANGLES, as the police react.",1
The chopper banks tight and dives across the tops of the parked cars,1
Cruisers race to converge.,1
CUT TO:,0
"LOW WIDE ANGLE, PRECEDING REESE'S BUICK as it hits the street, accelerating",1
"Terminator's cruiser slides out behind it, fishtails, races forward.",1
Engines roar as the cars go flat out,1
Buildings lining the street become a blur.,1
The chopper arcs in behind them.,1
"Legitimate police, lights blazing, enter the pursuit one by one.",1
"LOW ANGLE, MOVING WITH TERMINATOR'S CAR as Reese dodges across all lanes ahead of it.",1
Terminator gaining.,1
They run an intersection at a hundred plus.,1
CUT TO:,0
Reese is feeding his last two shells into the riot gun.,1
REESE,2
(yelling),4
Steer!,3
"Holding the gun is both hands he leans out the window, still keeping the throttle mashed down.",1
"Sarah grabs the wheel, fighting to control the car.",1
CUT TO:,0
"MOVING WITH THE BUICK, looking back, as Reese aims the shotgun, buffeted by the windstream.",1
"Terminator's car, B.G., overtakes rapidly.",1
SARAH,2
(shouting),4
Reese!,3
CUT TO:,0
OVER SARAH'S SHOULDER as they approach an intersection... red light their way and an ALPHA BETA TRUCK entering cross wise.,1
CUT TO:,0
"Past Terminator, F.G., his shotgun aimed as he comes along side...at Reese.",1
They are staring down each other's barrels.,1
CUT TO:,0
INT,5
BUICK,5
NIGHT,6
Sarah grabs the shift lever.,1
"DETAIL - SHIFTER, as she slams it into reverse.",1
CUT TO:,0
EXT,5
STREET/CARS,5
NIGHT,6
MOVING WITH BOTH CARS as the Buick skids with rear tires locked,1
Reese and Terminator FIRE simultaneously.,1
TIGHT ON REESE as the doorpost next to his shoulder is torn out by the other's blast.,1
"ON TERMINATOR, leaning to see around his shattered wind- shield",1
Too late.,1
"He hurtles into the intersection, past the skidding Buick.",1
Clips the back of the semi.,1
Spins radically.,1
Vaults the curb in a screeching front-end roll.,1
WHIP-PANNING WITH THE CRUISER as it crashes upside-down through the counter area of an A & W.,1
LOW ANGLE as Reese and Sarah slide to a stop in a cloud of tire smoke.,1
Transmission fluid pours out of the car like blood.,1
An instant later they are surrounded by an assortment of,1
"LAPD, SHERIFF'S DEPT., and CHP CARS.",1
The helicopter hovers overhead.,1
"MEDIUM ON SARAH AND REESE, he raises his hands, through the side window, in plain sight",1
"A phalanx of cops, guns drawn, approaches the car warily.",1
Sarah looks at Reese,1
Then at the cops,1
"She opens the door and runs, staggering, toward them",1
Vukovich steps forward and pulls her away to safety.,1
C.U,1
#NAME?,1
CUT TO:,0
NIGHT                             ,6
Two cops approach the overturned squad car jammed into the wreckage of the small building.,1
They shine their flashlights inside.,1
It is empty.,1
The cyborg has VANISHED.,1
A sign which reads 'DRIVE IN' detaches from an awning and crashed down across the crushed auto.,1
CUT TO:,0
"Sarah, huddles in a blanket, is siting on a bench opposite",1
Vukovich's desk,1
Motionless,1
Her eyes are fixed on the middle distance,1
She's been crying,1
Now she's emptied out.,1
The door opens.,1
"At the sound of the latch Sarah jerks as if struck, and cringes involuntarily",1
Vukovich enters with Traxler and DR,1
PETER,1
"SILBERMAN, a criminal psychologist",1
"Silberman is smooth of skin and manner, young, ambitious and...fat",1
"He is enthusiastic about the workings of the human psyche, as emotionally involved as someone pulling the wings off a fly.",1
Vukovich sits beside Sarah and hands her a cup of coffee.,1
He puts a paternal arm around her shoulders.,1
VUKOVICH,2
"Here, drink some of this...",3
SARAH,2
"(voice flat, desperate)",4
"Lieutenant, are you sure it's them?  Maybe I should see the",3
...bodies.,3
VUKOVICH,2
They've already been identi- fied,3
There's no doubt.,3
"Sarah  begins to cry again, slowly and very quickly.",1
SARAH,2
(to herself),4
"Of, God...Ginger...kiddo,",3
I'm so sorry.,3
Vukovich takes the coffee cup from her as her arms sag and it starts to spill.,1
VUKOVICH,2
(gently),4
Sarah.,3
(pause),4
"Sarah, this is Dr",3
Silber- man,3
I'd like you to tell him everything Reese said to you,3
Do you feel up to it?,3
SARAH,2
(almost in- audible),4
I guess so.,3
(to Silberman),4
You're a doctor?,3
SILBERMAN,2
A criminal psychologist.,3
SARAH,2
Is Reese crazy?,3
SILBERMAN,2
That's what we're going to find out.,3
CUT TO:,0
INT,5
HOTEL ROOM,5
NIGHT,6
"The room costs five dollars a night and that's steep, but the FIRE ESCAPE outside the window adds an element of strategic value.",1
A silhouette slips in through the window and click on the single BARE LIGHT BULB.,1
"It's Terminator, and he's a mess.",1
"A bloody scarecrow with bullet wounds in stomach, chest, shoulder and right wrist.",1
MEDIUM ON TERMINATOR as he sits at a ratty folding table under the light.,1
His eyebrows are singed off.,1
Hair a charred stubble.,1
Left eyes glistening with imbedded glass shards.,1
Before him on the table is an array of SMALL TOOLS.,1
He removes the charred remains of his jacket and props. one elbow on the table.,1
"ANGLE PAST HIS NON-FUNCTIONAL RIGHT ARM, F.G., as he exam- ines it",1
He picks up an X-ACTO KNIFE and cuts deeply into the skin of his forearm.,1
His expression is one of mild concentration.,1
E.C.U,1
#NAME?,1
They slide as he moves his fingers.,1
"RESUME MEDIUM, as Terminator uses a rag to wipe away the blood",1
With small screwdrivers he begins to patiently dis- assemble the damaged mechanism around the 12-guage hit.,1
CUT TO:,0
"The room is small, furnished with only a table and two chairs.",1
"Reese, his arms handcuffed behind him, sits opposite Dr.",1
Silberman,1
Behind Silberman is a large mirror,1
A DETECTIVE leans against the wall.,1
SILBERMAN,2
So,3
You're a soldier.,3
Fighting for whom?,3
REESE,2
"With the One Thirty Second under Perry, from '21 to '27--",3
SILBERMAN,2
(interrupting),4
The year 2027?,3
CUT TO:,0
"Vukovich and Traxler are seated in the dark room, watching",1
"Reese, B.G., through the two-way mirror",1
"Just behind the glass is a VIDEO CAMERA ON A TRIPOD, aimed at Reese, and a CART holding a SMALL MONITOR and VIDEOCASSETTE RECORDER.",1
REESE,2
(through speaker),4
That's right.,3
TRAXLER,2
"(quietly, to",4
Vukovich),4
This is fucking great.,3
CUT TO:,0
INTERROGATION ROOM     ,5
REESE,2
Then I was assigned Recon/,3
"Security, last two years, under John Connor.",3
SILBERMAN,2
And who was the enemy?,3
REESE,2
SKYNET,3
A computer defense system built for SAC-NORAD by Cyber,3
Dynamics,3
A modified Series,3
4800,3
SILBERMAN,2
(gravely),4
I see,3
"And this...computer, thinks it can win by killing the mother of its enemy, kill- ing him, in effect, before he is even conceived?  A sort of retroactive abortion?",3
REESE,2
Yes.,4
CUT TO:,0
 OBSERVATION ROOM                 ,5
Traxler snorts and grins.,1
TRAXLER,2
(to Vukovich),4
That Silberman just crack me up.,3
(pause),4
He had this guy in here last week who set his Afghan on fire.,3
"Screwed it first, then set it on--",3
VUKOVICH,2
(leaning forward),4
Shut up.,3
CUT TO:,0
 INTERROGATION ROOM,5
REESE,2
...it had no choice.,3
The defensive grid was smashed,3
We'd taken the mainframes...,3
We'd won,3
Taking out,3
Connor then would make no difference,3
Skynet had to wipe out his entire exist- ence,3
We captured the lab complex,3
Found the...what- ever it was called...the time-displacement equipment.,3
The Terminator had already gone through,3
"They sent two of us to intercept, then zeroed the whole place.",3
Sumner didn't make it.,3
SILBERMAN,2
Then how are you supposed to get back?,3
REESE,2
Can't,3
Nobody goes home.,3
Nobody else comes through.,3
It's just him and me.,3
CUT TO:,0
E.C.U,1
#NAME?,1
"He is close to a mirror, practically touching it, staring intently.",1
MACRO - X-ACTO KNIFE lying on the dresser,1
Terminator's fingers lift it,1
